song_id,mood,valence,arousal
2,sad,3.1,3.0
3,sad,3.5,3.3
4,happy,5.7,5.5
5,tense,4.4,5.3
7,happy,5.8,6.4
8,sad,3.2,4.8
10,sad,4.0,4.7
12,happy,5.5,5.8
13,sad,3.2,4.0
17,tense,4.4,6.0
18,sad,4.8,3.9
19,calm,5.9,4.3
20,happy,5.4,6.5
21,happy,6.6,6.3
22,sad,4.0,4.8
24,calm,5.3,3.9
25,calm,7.9,4.7
31,sad,4.7,3.8
32,sad,4.2,3.3
35,tense,4.8,6.5
37,happy,6.6,5.3
39,happy,7.3,5.4
40,sad,4.6,4.8
41,tense,4.3,5.1
42,happy,6.1,5.1
43,calm,6.7,3.5
44,sad,3.9,4.9
45,calm,5.1,2.1
46,calm,5.3,4.0
47,sad,4.4,4.4
48,sad,4.5,4.8
49,tense,3.9,5.3
50,sad,3.6,4.8
51,sad,3.6,3.2
52,tense,4.6,5.1
53,tense,4.3,5.1
54,sad,3.1,3.3
55,happy,5.8,5.4
56,happy,6.4,5.8
58,sad,3.3,3.4
59,calm,5.3,4.1
60,tense,4.3,6.4
62,calm,6.2,3.9
64,sad,3.6,4.9
65,happy,6.4,5.8
67,happy,7.2,6.8
68,sad,3.8,4.9
69,sad,3.2,3.9
70,sad,4.4,3.6
71,calm,5.9,3.7
72,happy,6.7,5.6
73,happy,5.8,5.6
74,sad,3.0,4.3
76,sad,4.3,3.2
77,sad,4.2,2.9
78,sad,3.4,3.9
79,happy,5.5,5.5
80,happy,6.0,5.1
81,calm,6.1,3.9
82,sad,2.9,3.5
83,happy,6.1,5.8
84,happy,5.9,5.6
85,happy,7.1,6.2
86,happy,5.4,5.6
87,calm,5.3,2.6
88,happy,6.7,5.5
89,sad,4.5,4.8
90,sad,4.3,4.2
91,tense,4.5,5.5
92,calm,5.8,4.7
93,happy,7.2,6.0
95,sad,3.3,4.6
96,happy,6.8,6.9
98,sad,4.3,2.7
99,sad,4.3,4.1
101,sad,3.4,2.8
102,happy,6.5,5.4
103,calm,5.6,3.3
104,calm,6.1,3.3
105,happy,6.5,5.0
106,sad,4.6,3.3
107,calm,6.0,4.8
108,sad,4.5,4.2
109,sad,4.4,4.5
110,sad,4.4,2.8
111,happy,5.3,5.3
112,happy,6.8,6.4
113,calm,5.4,3.8
114,tense,4.8,5.7
115,happy,8.4,7.8
116,sad,4.4,3.9
117,tense,3.9,5.0
118,sad,4.9,4.6
119,sad,4.3,3.2
120,tense,3.8,5.0
121,sad,3.1,3.9
122,calm,5.5,4.6
123,happy,6.1,6.2
124,sad,3.7,2.8
125,sad,4.5,4.2
126,happy,5.1,6.1
127,tense,3.0,5.3
128,sad,3.6,4.0
129,tense,4.2,6.0
130,sad,3.3,4.2
131,calm,6.1,4.9
133,sad,2.8,2.2
134,happy,5.4,6.0
135,sad,3.7,3.5
136,happy,6.8,6.2
137,tense,4.3,5.8
138,sad,3.8,2.4
140,sad,4.2,4.5
142,sad,4.6,4.8
143,sad,4.0,4.9
144,sad,3.4,4.7
145,tense,3.1,5.4
146,sad,2.4,3.5
148,tense,4.7,5.0
149,sad,3.4,3.1
150,happy,5.0,5.4
151,sad,4.0,4.5
152,tense,4.4,5.6
153,sad,3.9,4.5
154,sad,4.2,4.1
155,tense,3.6,5.4
156,happy,6.4,6.7
157,tense,4.0,6.2
158,sad,2.1,3.6
159,sad,3.8,3.1
160,sad,3.5,3.5
161,calm,6.3,3.5
162,sad,3.7,4.6
163,sad,3.6,4.5
164,sad,4.1,2.9
166,sad,3.1,4.2
167,sad,2.7,3.3
168,sad,3.3,3.4
169,sad,2.4,2.8
170,tense,3.0,5.0
171,sad,2.1,3.6
172,tense,3.8,5.0
173,sad,4.6,2.2
174,sad,4.0,3.8
175,sad,3.7,4.3
176,sad,2.4,3.9
177,tense,4.8,5.6
