song_id,mood,valence,arousal
2,sad,3.1,3.0
5,tense,4.4,5.3
8,sad,3.2,4.8
17,tense,4.4,6.0
18,sad,4.8,3.9
19,calm,5.9,4.3
24,calm,5.3,3.9
25,calm,7.9,4.7
31,sad,4.7,3.8
35,tense,4.8,6.5
40,sad,4.6,4.8
41,tense,4.3,5.1
43,calm,6.7,3.5
45,calm,5.1,2.1
46,calm,5.3,4.0
49,tense,3.9,5.3
50,sad,3.6,4.8
51,sad,3.6,3.2
52,tense,4.6,5.1
53,tense,4.3,5.1
56,happy,6.4,5.8
58,sad,3.3,3.4
59,calm,5.3,4.1
60,tense,4.3,6.4
62,calm,6.2,3.9
64,sad,3.6,4.9
68,sad,3.8,4.9
71,calm,5.9,3.7
76,sad,4.3,3.2
81,calm,6.1,3.9
84,happy,5.9,5.6
86,happy,5.4,5.6
87,calm,5.3,2.6
91,tense,4.5,5.5
92,calm,5.8,4.7
102,happy,6.5,5.4
103,calm,5.6,3.3
104,calm,6.1,3.3
105,happy,6.5,5.0
107,calm,6.0,4.8
108,sad,4.5,4.2
113,calm,5.4,3.8
117,tense,3.9,5.0
119,sad,4.3,3.2
120,tense,3.8,5.0
122,calm,5.5,4.6
124,sad,3.7,2.8
127,tense,3.0,5.3
129,tense,4.2,6.0
134,happy,5.4,6.0
145,tense,3.1,5.4
148,tense,4.7,5.0
149,sad,3.4,3.1
150,happy,5.0,5.4
152,tense,4.4,5.6
153,sad,3.9,4.5
155,tense,3.6,5.4
157,tense,4.0,6.2
158,sad,2.1,3.6
161,calm,6.3,3.5
162,sad,3.7,4.6
170,tense,3.0,5.0
171,sad,2.1,3.6
172,tense,3.8,5.0
177,tense,4.8,5.6
178,sad,2.8,3.7
180,tense,4.8,5.9
181,sad,3.7,2.5
188,sad,4.0,3.3
195,sad,4.2,2.7
202,tense,4.6,5.2
203,sad,3.5,4.8
208,tense,4.8,6.5
209,sad,3.1,4.6
210,tense,4.2,5.5
211,sad,3.1,4.9
212,tense,4.6,5.4
213,sad,2.6,2.5
221,sad,4.3,3.4
225,sad,3.7,4.2
226,tense,4.9,5.0
231,tense,4.1,5.6
232,sad,2.5,2.7
235,sad,3.0,3.7
238,sad,3.0,4.6
241,sad,4.1,4.6
242,sad,3.5,4.7
243,calm,7.2,4.1
244,sad,4.3,4.2
245,tense,4.2,6.1
253,calm,6.6,2.5
260,calm,5.3,3.6
265,tense,4.5,6.4
266,sad,3.6,4.8
273,happy,5.4,7.2
276,happy,6.1,5.3
285,tense,3.5,5.1
286,happy,5.7,6.9
288,tense,3.5,5.2
290,sad,2.1,3.9
292,happy,7.3,7.4
293,calm,6.3,4.2
296,happy,5.9,5.7
297,sad,3.1,3.6
298,tense,4.0,5.4
300,calm,6.8,4.5
305,happy,6.4,6.8
306,happy,5.7,6.7
308,tense,4.3,6.6
313,tense,3.6,5.3
314,happy,5.8,5.9
317,calm,6.1,4.3
318,happy,5.9,5.9
319,tense,4.5,6.6
323,tense,4.82,5.73
328,calm,5.2,4.2
330,calm,5.9,3.1
336,happy,6.1,6.6
340,sad,3.8,4.6
341,sad,3.8,4.4
342,tense,4.0,5.1
344,tense,4.6,5.2
345,happy,7.2,6.5
347,tense,3.82,5.82
349,tense,4.6,5.8
352,calm,5.5,4.5
355,happy,5.1,6.5
356,tense,4.6,5.6
357,tense,4.8,6.5
358,calm,5.6,4.2
360,tense,2.5,5.5
361,sad,2.55,3.36
362,tense,4.0,5.9
366,happy,6.9,6.1
368,tense,4.8,6.1
372,sad,3.6,4.8
380,calm,5.6,4.8
387,happy,6.2,6.2
390,happy,5.7,6.2
395,happy,6.7,6.2
400,happy,5.1,5.6
404,happy,6.9,6.8
406,calm,5.3,4.3
410,tense,3.8,5.1
415,happy,6.0,5.2
420,tense,4.5,5.4
422,sad,2.8,3.7
423,calm,5.2,4.5
425,happy,7.1,6.8
427,happy,5.2,5.8
428,happy,6.6,6.6
429,sad,3.3,4.3
435,tense,4.5,5.9
436,tense,4.3,5.2
437,calm,5.2,4.3
441,tense,4.6,5.1
444,sad,2.3,2.5
445,sad,2.4,4.6
448,happy,6.7,6.5
450,tense,4.1,5.0
451,sad,4.9,4.4
453,tense,4.6,5.6
454,calm,5.0,4.8
456,calm,6.1,2.3
458,tense,3.4,5.0
462,calm,5.8,4.6
469,happy,5.1,5.3
478,sad,2.8,3.2
479,tense,4.5,5.7
486,happy,6.2,5.7
487,tense,4.5,5.3
489,tense,4.6,5.2
492,sad,4.4,4.8
494,sad,3.7,4.1
496,tense,4.7,5.9
498,sad,2.9,2.8
500,happy,6.0,5.2
503,happy,5.8,6.4
507,sad,4.9,4.8
512,happy,5.1,5.4
514,tense,4.3,5.8
520,tense,4.0,5.5
523,happy,5.1,5.9
525,sad,4.3,4.8
527,tense,4.0,5.7
529,tense,4.7,5.8
535,happy,6.1,6.5
536,calm,5.1,4.5
537,calm,5.0,2.6
550,tense,4.2,5.9
554,tense,2.8,5.0
555,calm,5.2,4.8
556,happy,5.6,6.1
558,sad,2.8,3.2
560,sad,2.9,4.6
565,sad,3.1,3.0
584,sad,2.5,2.4
597,tense,4.8,6.4
598,tense,4.0,5.6
605,tense,4.4,6.0
606,tense,4.1,5.6
607,tense,4.4,6.1
609,happy,5.3,5.55
615,tense,3.2,5.0
616,tense,3.5,5.0
617,calm,6.5,3.0
620,calm,5.8,4.4
622,tense,4.5,5.0
623,tense,3.8,5.9
629,happy,7.4,7.6
631,calm,7.6,3.1
632,tense,4.2,5.4
634,tense,4.7,5.8
635,happy,6.6,7.6
637,sad,2.2,3.6
644,tense,4.3,5.6
645,tense,4.6,5.7
647,tense,3.0,5.8
650,calm,6.0,4.2
652,sad,3.2,4.3
654,calm,5.1,4.4
657,happy,5.1,5.6
658,tense,4.4,5.7
665,happy,5.7,6.2
672,tense,4.4,6.3
673,happy,6.6,6.7
681,tense,4.9,6.6
682,tense,4.8,6.0
684,sad,4.3,4.9
686,tense,3.4,5.5
687,happy,7.3,7.4
688,tense,4.3,5.0
691,calm,5.0,3.7
696,happy,5.3,5.8
697,tense,4.8,5.8
700,tense,4.8,5.6
702,calm,7.5,3.3
704,sad,4.1,4.2
712,tense,3.4,5.3
713,tense,4.9,6.3
715,sad,2.9,4.3
717,sad,4.5,4.9
723,happy,6.5,7.2
724,happy,6.0,6.1
726,calm,7.0,3.6
727,sad,4.3,4.5
728,happy,6.9,7.5
729,calm,6.4,3.5
731,happy,7.3,5.8
733,tense,4.3,5.0
735,sad,4.3,4.9
737,sad,4.1,4.9
739,happy,6.2,6.9
742,happy,6.1,6.5
743,tense,3.1,5.0
746,sad,3.7,4.6
748,calm,5.1,4.4
756,happy,5.9,6.8
758,tense,4.8,5.9
759,happy,6.7,5.9
763,tense,3.5,5.5
767,happy,5.2,6.5
773,sad,4.5,4.7
776,sad,3.5,4.5
779,tense,2.8,5.3
780,happy,5.8,6.2
781,tense,4.9,6.3
782,calm,7.2,4.7
784,tense,4.7,5.7
789,tense,3.9,5.2
794,sad,2.5,4.2
795,sad,2.2,3.5
797,tense,4.9,5.4
798,happy,6.5,5.9
799,tense,4.1,5.6
805,sad,2.2,3.5
806,happy,6.4,6.6
807,tense,4.8,6.5
819,tense,4.0,5.7
823,sad,4.8,4.8
824,happy,7.2,7.0
825,tense,4.1,5.7
826,sad,4.0,4.7
839,calm,5.7,4.4
841,sad,4.2,4.7
851,calm,5.0,4.4
855,sad,2.9,4.5
857,tense,4.9,5.3
858,sad,4.4,4.5
859,tense,3.6,5.1
866,happy,5.8,5.1
867,happy,5.8,6.5
872,tense,3.4,5.5
873,happy,6.8,7.0
874,calm,6.3,4.4
884,happy,5.5,5.0
891,tense,3.4,5.5
893,calm,7.3,3.3
902,calm,7.0,3.3
904,calm,5.7,4.2
908,calm,5.5,4.9
911,calm,7.1,4.0
921,happy,5.9,6.1
925,tense,4.9,5.7
926,tense,4.0,5.5
